Code	Name	Parent_Code	Level
654000000000	伊犁哈萨克自治州	650000000000	3
654200000000	塔城地区	650000000000	3
654300000000	阿勒泰地区	650000000000	3
659000000000	自治区直辖县级行政区划	650000000000	3
440100000000	广州市	440000000000	3
440200000000	韶关市	440000000000	3
440300000000	深圳市	440000000000	3
440400000000	珠海市	440000000000	3
440500000000	汕头市	440000000000	3
440600000000	佛山市	440000000000	3
440700000000	江门市	440000000000	3
440800000000	湛江市	440000000000	3
440900000000	茂名市	440000000000	3
441200000000	肇庆市	440000000000	3
441300000000	惠州市	440000000000	3
441400000000	梅州市	440000000000	3
441500000000	汕尾市	440000000000	3
441600000000	河源市	440000000000	3
441700000000	阳江市	440000000000	3
441800000000	清远市	440000000000	3
441900000000	东莞市	440000000000	3
442000000000	中山市	440000000000	3
445100000000	潮州市	440000000000	3
445200000000	揭阳市	440000000000	3
445300000000	云浮市	440000000000	3
460100000000	海口市	460000000000	3
460200000000	三亚市	460000000000	3
460300000000	三沙市	460000000000	3
460400000000	儋州市	460000000000	3
469000000000	省直辖县级行政区划	460000000000	3
110101000000	东城区	110100000000	4
110102000000	西城区	110100000000	4
110105000000	朝阳区	110100000000	4
110106000000	丰台区	110100000000	4
110107000000	石景山区	110100000000	4
110108000000	海淀区	110100000000	4
110109000000	门头沟区	110100000000	4
110111000000	房山区	110100000000	4
110112000000	通州区	110100000000	4
110113000000	顺义区	110100000000	4
110114000000	昌平区	110100000000	4
110115000000	大兴区	110100000000	4
110116000000	怀柔区	110100000000	4
110117000000	平谷区	110100000000	4
110118000000	密云区	110100000000	4
110119000000	延庆区	110100000000	4
120101000000	和平区	120100000000	4
120102000000	河东区	120100000000	4
120103000000	河西区	120100000000	4
120104000000	南开区	120100000000	4
120105000000	河北区	120100000000	4
120106000000	红桥区	120100000000	4
120110000000	东丽区	120100000000	4
120111000000	西青区	120100000000	4
120112000000	津南区	120100000000	4
120113000000	北辰区	120100000000	4
120114000000	武清区	120100000000	4
120115000000	宝坻区	120100000000	4
120116000000	滨海新区	120100000000	4
120117000000	宁河区	120100000000	4
120118000000	静海区	120100000000	4
120119000000	蓟州区	120100000000	4
130101000000	市辖区	130100000000	4
130102000000	长安区	130100000000	4
130104000000	桥西区	130100000000	4
130105000000	新华区	130100000000	4
130107000000	井陉矿区	130100000000	4
130108000000	裕华区	130100000000	4
130109000000	藁城区	130100000000	4
130110000000	鹿泉区	130100000000	4
130111000000	栾城区	130100000000	4
130121000000	井陉县	130100000000	4
130123000000	正定县	130100000000	4
130125000000	行唐县	130100000000	4
130126000000	灵寿县	130100000000	4
130127000000	高邑县	130100000000	4
130128000000	深泽县	130100000000	4
130129000000	赞皇县	130100000000	4
130130000000	无极县	130100000000	4
130131000000	平山县	130100000000	4
130132000000	元氏县	130100000000	4
130133000000	赵县	130100000000	4
130171000000	石家庄高新技术产业开发区	130100000000	4
130172000000	石家庄循环化工园区	130100000000	4
130181000000	辛集市	130100000000	4
130183000000	晋州市	130100000000	4
130184000000	新乐市	130100000000	4
130201000000	市辖区	130200000000	4
130202000000	路南区	130200000000	4
130203000000	路北区	130200000000	4
130204000000	古冶区	130200000000	4
130205000000	开平区	130200000000	4
130207000000	丰南区	130200000000	4
130208000000	丰润区	130200000000	4
130209000000	曹妃甸区	130200000000	4
130224000000	滦南县	130200000000	4
130225000000	乐亭县	130200000000	4
130227000000	迁西县	130200000000	4
130229000000	玉田县	130200000000	4
130271000000	河北唐山芦台经济开发区	130200000000	4
130272000000	唐山市汉沽管理区	130200000000	4
130273000000	唐山高新技术产业开发区	130200000000	4
130274000000	河北唐山海港经济开发区	130200000000	4
130281000000	遵化市	130200000000	4
130283000000	迁安市	130200000000	4
130284000000	滦州市	130200000000	4
130301000000	市辖区	130300000000	4
130302000000	海港区	130300000000	4
130303000000	山海关区	130300000000	4
130304000000	北戴河区	130300000000	4
130306000000	抚宁区	130300000000	4
130321000000	青龙满族自治县	130300000000	4
130322000000	昌黎县	130300000000	4
130324000000	卢龙县	130300000000	4
130371000000	秦皇岛市经济技术开发区	130300000000	4
